iter	Passed	Remaining
0	46	46508
1	47	23569
2	47	15829
3	48	11960
4	54	10759
5	54	9029
6	54	7794
7	55	6854
8	55	6124
9	55	5541
10	56	5063
11	56	4668
12	57	4331
13	57	4045
14	57	3800
15	58	3581
16	58	3385
17	58	3210
18	59	3056
19	59	2918
20	59	2792
21	60	2679
22	60	2575
23	60	2479
24	61	2391
25	61	2309
26	61	2234
27	62	2164
28	62	2100
29	63	2038
30	63	1982
31	63	1929
32	64	1882
33	64	1835
34	64	1790
35	65	1748
36	65	1708
37	65	1670
38	66	1633
39	66	1601
40	67	1571
41	67	1541
42	67	1512
43	68	1484
44	68	1456
45	69	1431
46	69	1406
47	69	1382
48	70	1359
49	70	1337
50	70	1316
51	71	1295
52	71	1276
53	71	1257
54	72	1239
55	72	1221
56	72	1205
57	73	1189
58	73	1174
59	73	1158
60	74	1144
61	74	1129
62	75	1115
63	75	1101
64	75	1089
65	76	1076
66	76	1064
67	76	1051
68	77	1039
69	77	1028
70	77	1016
71	78	1006
72	78	996
73	78	985
74	79	975
75	79	966
76	79	956
77	80	947
78	80	938
79	80	929
80	81	920
81	81	912
82	81	902
83	82	894
84	82	886
85	82	878
86	83	871
87	83	864
88	83	856
89	84	849
90	84	843
91	84	836
92	85	830
93	85	823
94	85	817
95	86	810
96	86	804
97	86	798
98	87	792
99	87	787
100	87	781
101	88	775
102	88	770
103	88	765
104	89	760
105	89	755
106	89	750
107	90	746
108	90	741
109	91	736
110	91	732
111	91	727
112	92	723
113	92	719
114	92	714
115	93	710
116	93	705
117	93	701
118	94	697
119	94	692
120	94	688
121	95	684
122	95	680
123	95	676
124	96	672
125	96	668
126	96	664
127	96	660
128	97	658
129	97	654
130	98	651
131	98	647
132	98	643
133	99	640
134	99	637
135	99	634
136	100	630
137	100	627
138	100	624
139	101	621
140	101	618
141	101	615
142	102	612
143	102	609
144	102	606
145	103	604
146	103	601
147	104	598
148	104	595
149	104	593
150	105	590
151	105	588
152	105	585
153	106	583
154	106	580
155	106	578
156	107	575
157	107	573
158	107	571
159	108	568
160	108	565
161	108	563
162	109	561
163	109	558
164	109	556
165	110	554
166	110	552
167	111	550
168	111	547
169	111	545
170	112	543
171	112	541
172	112	539
173	113	536
174	113	534
175	113	532
176	114	530
177	114	528
178	114	526
179	115	524
180	115	522
181	115	520
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	508
188	118	507
189	118	505
190	118	503
191	119	503
192	119	501
193	120	499
194	120	498
195	121	496
196	121	494
197	121	492
198	122	491
199	122	489
200	122	487
201	123	486
202	123	484
203	123	482
204	124	481
205	124	479
206	124	478
207	125	476
208	125	474
209	125	473
210	126	471
211	126	470
212	126	468
213	127	467
214	127	465
215	127	464
216	128	462
217	128	461
218	128	459
219	129	458
220	129	457
221	129	455
222	130	454
223	130	452
224	133	461
225	134	459
226	134	458
227	134	457
228	135	455
229	135	454
230	136	453
231	136	451
232	136	450
233	137	449
234	137	447
235	137	446
236	138	444
237	138	443
238	138	442
239	139	440
240	139	439
241	139	438
242	140	437
243	140	436
244	141	434
245	141	433
246	141	432
247	142	430
248	142	429
249	142	428
250	143	427
251	143	425
252	143	424
253	144	423
